txn_overall,amt_overall,txn_promo,amt_promo,txn_nonpromo,amt_nonpromo,customer_id,membership_days,age,income,gender_Blank,gender_F,gender_M,gender_O,offer_received,offer_viewed,offer_completed,web,email,mobile,social,difficulty,duration,reward,redeemed_reward,response_score,bogo_offer_received,disc_offer_received,info_offer_received,bogo_offer_viewed,disc_offer_viewed,info_offer_viewed,bogo_offer_completed,disc_offer_completed,info_offer_completed,bogo_response_score,disc_response_score,info_response_score,rfm_promo_score,rfm_nonpromo_score,amt_per_hour,amt_per_member_day,amt_per_income
11.0,56.22,11.0,56.22,0.0,0.0,14,1625,26,46000,0,0,1,0,6,1,0,5,6,3,1,15.0,8.5,4.833333333333333,0.0,0.0,1,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.08,0.03,0.0
8.0,160.25,8.0,160.25,0.0,0.0,15,897,62,71000,0,1,0,0,6,5,3,6,6,5,5,10.166666666666666,8.5,3.0,1.3333333333333333,0.38833333333333336,0,3,0,0.0,2.6666666666666665,0.0,0.0,1.1666666666666665,0.0,0.0,0.8799999999999999,0.0,3.33,0.0,0.22,0.18,0.0
9.0,144.11,7.0,134.96,2.0,9.15,16,1352,49,52000,0,0,1,0,3,2,2,1,3,2,2,10.0,6.666666666666667,5.0,3.3333333333333335,0.5233333333333333,1,1,1,1.0,0.0,1.0,1.0,0.0,1.0,0.57,0.0,1.0,3.67,3.67,0.2,0.11,0.0
5.0,4.0,3.0,2.26,2.0,1.74,17,360,59,43000,1,0,0,0,5,5,0,3,5,4,4,9.4,6.4,5.6,0.0,0.0,2,2,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.67,0.01,0.01,0.0
6.0,19.1,5.0,14.77,1.0,4.33,18,208,57,42000,0,0,1,0,5,1,1,5,5,4,1,7.4,7.0,3.6,0.6,0.057999999999999996,1,2,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.29,0.0,3.33,1.33,0.03,0.09,0.0
7.0,20.78,5.0,10.19,2.0,10.59,19,87,61,40000,0,1,0,0,3,2,0,1,3,3,2,5.0,5.666666666666667,5.0,0.0,0.0,2,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.33,0.03,0.24,0.0
16.0,300.68,16.0,300.68,0.0,0.0,20,814,40,71000,0,1,0,0,5,4,3,5,5,4,3,10.2,7.6,3.2,1.8,0.534,0,3,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.89,0.0,3.33,0.0,0.42,0.37,0.0
7.0,211.29,6.0,170.33,1.0,40.96,21,321,64,100000,0,0,1,0,5,4,3,3,5,3,2,12.0,7.6,6.0,3.0,0.572,1,1,1,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.49,0.88,4.0,4.67,0.3,0.66,0.0
8.0,155.46,7.0,135.26,1.0,20.2,22,406,78,71000,0,1,0,0,6,6,4,4,6,6,4,3.3333333333333335,4.833333333333333,2.0,0.3333333333333333,0.615,1,1,2,1.0,1.0,2.0,0.0,1.0,1.5,0.0,0.98,1.355,3.33,2.67,0.22,0.38,0.0
5.0,9.82,2.0,4.63,3.0,5.19,23,323,26,56000,1,0,0,0,5,5,1,5,5,3,2,11.4,7.2,4.6,0.0,0.038,1,2,1,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.19,2.33,3.0,0.01,0.03,0.0
5.0,91.4,5.0,91.4,0.0,0.0,24,1811,42,69000,0,0,1,0,4,4,4,4,4,4,3,7.5,7.25,3.5,3.5,0.73,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.665,0.94,2.67,0.0,0.13,0.05,0.0
3.0,75.62,3.0,75.62,0.0,0.0,25,90,56,88000,0,1,0,0,6,6,4,6,6,4,1,11.666666666666666,7.666666666666667,5.333333333333333,3.6666666666666665,0.49666666666666676,2,2,0,2.0,2.0,0.0,1.0,2.0,0.0,0.95,1.48,0.0,4.0,0.0,0.11,0.84,0.0
16.0,31.91,16.0,31.91,0.0,0.0,26,484,41,59000,1,0,0,0,5,4,1,4,5,4,2,11.0,8.2,4.8,0.4,0.13,2,3,0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.65,0.0,2.0,0.0,0.04,0.07,0.0
9.0,17.9,9.0,17.9,0.0,0.0,27,304,33,52000,0,1,0,0,6,3,1,6,6,5,2,10.333333333333334,8.0,3.1666666666666665,0.3333333333333333,0.075,1,4,0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,0.45,0.0,3.0,0.0,0.03,0.06,0.0
1.0,2.88,1.0,2.88,0.0,0.0,28,319,46,59000,0,1,0,0,4,1,0,4,4,2,1,12.5,7.25,5.0,0.0,0.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.01,0.0
13.0,52.08,13.0,52.08,0.0,0.0,29,1283,59,41000,0,0,1,0,6,5,4,4,6,6,3,5.0,6.166666666666667,2.3333333333333335,0.6666666666666666,0.5166666666666667,1,2,1,0.5,2.0,1.0,0.0,2.0,1.0,0.0,1.9300000000000002,0.585,2.0,0.0,0.07,0.04,0.0
8.0,206.88,7.0,182.16,1.0,24.72,30,1434,67,96000,0,0,1,0,4,3,3,3,4,4,4,7.25,6.5,5.25,2.75,0.44499999999999995,2,1,0,1.0,1.0,0.0,1.0,1.0,0.0,0.25,0.7649999999999999,0.0,4.33,2.33,0.29,0.14,0.0
5.0,18.74,5.0,18.74,0.0,0.0,31,314,53,52000,0,0,0,1,5,3,1,4,5,5,3,7.0,5.4,5.4,0.0,0.134,2,1,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.67,2.33,0.0,0.03,0.06,0.0
6.0,106.38,6.0,106.38,0.0,0.0,32,305,22,70000,0,0,1,0,6,6,5,5,6,5,4,9.5,6.333333333333333,6.333333333333333,4.666666666666667,0.5850000000000001,2,2,1,2.0,2.0,1.0,1.0,2.0,1.0,0.65,1.9,0.31,2.67,0.0,0.15,0.35,0.0
4.0,81.92,3.0,53.55,1.0,28.37,33,252,96,89000,0,1,0,0,5,2,1,4,5,5,3,5.4,5.8,3.0,1.0,0.06999999999999999,2,2,1,1.0,0.0,1.0,1.0,0.0,0.0,0.35,0.0,0.0,2.33,4.0,0.11,0.33,0.0
14.0,40.94,14.0,40.94,0.0,0.0,34,748,40,33000,0,0,1,0,6,4,0,4,6,6,3,5.0,6.0,5.0,0.0,0.0,3,0,1,2.333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.06,0.05,0.0
14.0,213.49,13.0,195.2,1.0,18.29,35,712,69,57000,0,1,0,0,6,5,5,4,6,6,3,5.0,5.5,5.0,5.0,0.775,3,0,2,3.0,0.0,1.0,3.0,0.0,1.0,2.84,0.0,0.88,1.67,3.0,0.3,0.3,0.0
6.0,21.82,5.0,17.76,1.0,4.06,36,750,60,67000,1,0,0,0,4,2,2,2,4,4,3,6.25,5.5,4.25,1.25,0.2925,2,1,1,1.0,0.0,1.0,1.0,0.0,1.0,0.25,0.0,0.92,1.33,2.33,0.03,0.03,0.0
9.0,167.67,8.0,149.44,1.0,18.23,37,1538,56,68000,0,0,1,0,3,2,1,2,3,2,2,10.0,7.666666666666667,2.3333333333333335,1.6666666666666667,0.13333333333333333,0,2,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,4.33,2.67,0.23,0.11,0.0
21.0,73.38,20.0,61.1,1.0,12.28,38,349,26,63000,0,1,0,0,3,3,3,2,3,3,3,5.666666666666667,6.666666666666667,1.6666666666666667,1.6666666666666667,0.6533333333333333,0,2,1,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.29,0.67,1.33,2.33,0.1,0.21,0.0
4.0,12.0,3.0,10.41,1.0,1.59,39,195,49,52000,1,0,0,0,6,5,1,5,6,6,5,7.0,6.166666666666667,3.6666666666666665,0.8333333333333334,0.09999999999999999,2,3,1,2.0,2.0,1.0,1.0,0.0,0.0,0.6,0.0,0.0,3.33,2.67,0.02,0.06,0.0
10.0,155.53,9.0,153.17,1.0,2.36,40,988,75,40000,0,0,1,0,4,3,3,4,4,4,2,8.0,6.5,3.0,2.5,0.5975,1,2,0,1.0,1.5,0.0,1.0,1.5,0.0,1.0,1.0350000000000001,0.0,2.0,3.33,0.22,0.16,0.0
10.0,29.89,9.0,28.67,1.0,1.22,41,746,20,30000,0,1,0,0,2,1,0,1,2,1,1,15.0,8.5,7.5,0.0,0.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.67,0.04,0.04,0.0
8.0,61.25,7.0,54.05,1.0,7.2,42,20,45,33000,0,0,1,0,5,5,4,5,5,5,3,6.4,5.6,5.6,3.6,0.526,2,1,1,2.0,1.0,1.0,1.5,1.0,1.0,1.065,0.29,1.0,3.33,3.0,0.09,3.06,0.0
8.0,234.43,6.0,159.92,2.0,74.51,43,248,61,98000,0,0,1,0,5,4,1,5,5,5,3,7.4,6.2,5.0,0.6,0.16399999999999998,3,2,0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.0,4.33,3.67,0.33,0.95,0.0
5.0,7.31,4.0,4.33,1.0,2.98,44,1354,62,76000,1,0,0,0,2,2,0,2,2,0,0,20.0,10.0,5.0,0.0,0.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.01,0.01,0.0
16.0,51.71,16.0,51.71,0.0,0.0,45,442,47,45000,1,0,0,0,5,4,1,5,5,2,2,15.0,9.0,4.4,0.4,0.13999999999999999,1,2,0,1.0,1.6666666666666665,0.0,0.0,1.0,0.0,0.0,0.7,0.0,1.67,0.0,0.07,0.12,0.0
12.0,32.72,11.0,31.9,1.0,0.82,46,1773,69,37000,0,1,0,0,5,3,0,3,5,4,3,10.4,7.6,6.6,0.0,0.0,2,2,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.02,0.0
9.0,249.4,8.0,219.54,1.0,29.86,47,535,54,80000,0,1,0,0,6,4,4,5,6,6,4,5.0,5.666666666666667,3.6666666666666665,2.8333333333333335,0.6583333333333333,3,1,2,2.0,1.0,1.0,2.0,1.0,1.0,1.95,1.0,1.0,3.67,3.0,0.35,0.47,0.0
14.0,51.91,13.0,47.16,1.0,4.75,48,1522,39,51000,0,0,1,0,5,3,2,4,5,4,3,7.0,5.4,4.0,1.0,0.384,2,1,2,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.92,2.33,2.67,0.07,0.03,0.0
18.0,62.51,17.0,57.9,1.0,4.61,49,1040,41,41000,0,1,0,0,4,2,1,3,4,4,2,8.0,7.0,5.0,0.75,0.0975,2,2,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.39,0.0,3.0,1.33,0.09,0.06,0.0
15.0,152.0,14.0,150.34,1.0,1.66,50,1199,79,48000,0,1,0,0,4,2,1,3,4,4,1,8.75,7.0,4.75,2.5,0.0975,2,1,0,2.0,0.0,0.0,1.0,0.0,0.0,0.39,0.0,0.0,2.67,1.33,0.21,0.13,0.0
5.0,56.08,4.0,39.09,1.0,16.99,51,110,66,38000,0,1,0,0,4,4,2,2,4,4,3,6.25,5.5,6.25,1.25,0.2825,3,0,1,3.0,0.0,1.0,1.0,0.0,1.0,0.96,0.0,0.17,4.33,3.0,0.08,0.51,0.0
7.0,87.11,4.0,47.84,3.0,39.27,52,396,56,52000,0,1,0,0,3,1,0,3,3,1,1,15.666666666666666,9.0,4.333333333333333,0.0,0.0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1.67,0.12,0.22,0.0
13.0,150.23,13.0,150.23,0.0,0.0,53,1465,39,56000,0,1,0,0,5,3,3,4,5,5,2,5.4,6.2,3.0,1.6,0.22800000000000004,1,2,1,0.5,1.0,1.0,0.5,1.0,1.0,0.23,0.68,0.0,3.0,0.0,0.21,0.1,0.0
7.0,20.98,4.0,17.33,3.0,3.65,54,425,54,36000,1,0,0,0,2,2,2,2,2,2,1,5.0,6.0,5.0,5.0,0.495,2,0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.99,0.0,0.0,3.0,3.67,0.03,0.05,0.0
12.0,320.48,11.0,289.39,1.0,31.09,55,922,42,96000,0,0,1,0,4,4,4,4,4,3,2,11.75,7.25,5.0,5.0,0.92,1,3,0,1.0,3.0,0.0,1.0,3.0,0.0,0.8,2.88,0.0,2.33,3.0,0.45,0.35,0.0
6.0,16.93,4.0,12.7,2.0,4.23,56,287,48,51000,1,0,0,0,3,3,1,3,3,3,1,5.666666666666667,6.0,1.6666666666666667,0.0,0.08333333333333333,0,2,1,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,2.33,3.0,0.02,0.06,0.0
8.0,20.63,6.0,15.23,2.0,5.4,57,950,29,65000,1,0,0,0,5,3,0,2,5,5,3,5.0,5.6,5.0,0.0,0.0,2,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.33,0.03,0.02,0.0
8.0,225.55,8.0,225.55,0.0,0.0,58,656,78,93000,0,1,0,0,5,5,4,4,5,4,4,11.0,7.4,6.4,4.4,0.5,3,2,0,3.0,2.0,0.0,2.0,2.0,0.0,1.15,1.35,0.0,3.0,0.0,0.32,0.34,0.0
6.0,17.0,5.0,14.49,1.0,2.51,59,294,45,48000,0,0,1,0,4,2,0,3,4,3,2,10.0,7.75,4.25,0.0,0.0,1,2,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.33,0.02,0.06,0.0
12.0,38.17,9.0,27.69,3.0,10.48,60,818,29,50000,0,0,1,0,4,2,1,3,4,3,2,10.0,7.5,2.25,0.0,0.25,0,3,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.67,1.67,0.05,0.05,0.0
18.0,150.23,15.0,128.98,3.0,21.25,61,306,44,35000,0,0,1,0,4,4,3,4,4,4,4,7.25,7.25,3.25,2.75,0.6625,1,2,0,1.0,2.0,0.0,1.0,1.0,0.0,0.9,0.875,0.0,3.0,3.0,0.21,0.49,0.0
9.0,121.62,8.0,113.91,1.0,7.71,62,14,63,56000,0,0,1,0,3,3,3,2,3,3,2,10.0,8.0,4.666666666666667,4.666666666666667,0.63,1,2,0,1.0,2.0,0.0,1.0,2.0,0.0,0.36,1.53,0.0,2.33,3.33,0.17,8.69,0.0
7.0,118.85,4.0,65.79,3.0,53.06,63,211,36,56000,0,0,1,0,3,2,1,2,3,2,2,9.0,6.666666666666667,2.6666666666666665,1.0,0.04666666666666667,0,2,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.14,0.0,4.0,2.33,0.17,0.56,0.0
6.0,22.65,5.0,22.18,1.0,0.47,64,135,76,47000,0,1,0,0,5,3,1,5,5,4,3,9.4,6.2,5.6,0.6,0.078,1,2,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.39,0.0,2.33,1.33,0.03,0.17,0.0
8.0,177.18,7.0,154.89,1.0,22.29,65,338,68,87000,0,0,1,0,5,5,4,5,5,5,4,7.4,5.8,5.0,3.0,0.466,2,2,0,2.0,2.0,0.0,1.0,2.0,0.0,0.44999999999999996,1.4300000000000002,0.0,3.67,2.67,0.25,0.52,0.0
11.0,135.54,9.0,106.51,2.0,29.03,66,971,75,52000,0,0,1,0,3,3,2,2,3,3,1,5.0,5.666666666666667,2.3333333333333335,0.6666666666666666,0.57,1,1,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.96,0.75,3.33,2.33,0.19,0.14,0.0
12.0,200.78,11.0,186.16,1.0,14.62,67,516,67,76000,0,0,1,0,5,5,5,4,5,5,5,5.8,6.4,2.6,2.6,0.8560000000000001,1,2,1,1.0,2.0,1.0,1.0,2.0,1.0,0.85,1.83,0.67,2.67,4.0,0.28,0.39,0.0
11.0,23.81,10.0,20.18,1.0,3.63,68,727,77,51000,0,0,1,0,5,4,2,3,5,4,4,7.0,5.2,4.0,0.0,0.366,2,1,1,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.915,2.67,1.33,0.03,0.03,0.0
8.0,110.92,3.0,42.24,5.0,68.68,69,1426,76,64000,0,0,1,0,3,2,1,1,3,3,2,6.666666666666667,5.666666666666667,4.0,0.6666666666666666,0.16666666666666666,1,1,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,2.0,3.33,0.16,0.08,0.0
1.0,27.24,1.0,27.24,0.0,0.0,70,170,57,98000,0,0,1,0,3,0,0,2,3,2,1,11.666666666666666,8.0,6.666666666666667,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,0.0,0.04,0.16,0.0
9.0,167.88,9.0,167.88,0.0,0.0,71,751,53,72000,0,1,0,0,6,4,4,4,6,6,4,7.833333333333333,6.0,4.5,3.8333333333333335,0.5466666666666666,2,2,1,2.0,1.0,1.0,2.0,1.0,1.0,1.8199999999999998,0.79,0.67,2.67,0.0,0.24,0.22,0.0
10.0,303.2,10.0,303.2,0.0,0.0,72,573,53,117000,0,1,0,0,5,4,4,4,5,5,4,9.0,6.8,7.4,7.0,0.754,3,1,0,3.0,0.0,0.0,3.0,0.0,0.0,2.795,0.0,0.0,4.33,0.0,0.42,0.53,0.0
8.0,20.18,8.0,20.18,0.0,0.0,73,274,53,55000,0,1,0,0,5,3,1,5,5,4,3,10.0,7.4,3.8,0.4,0.124,1,3,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.62,0.0,1.33,0.0,0.03,0.07,0.0
2.0,67.25,1.0,33.38,1.0,33.87,74,259,61,112000,0,1,0,0,5,5,2,5,5,5,3,7.4,7.6,1.8,1.0,0.088,0,3,1,0.0,3.0,1.0,0.0,1.5,0.0,0.0,0.365,0.0,4.67,5.0,0.09,0.26,0.0
8.0,155.73,5.0,107.09,3.0,48.64,75,685,67,77000,0,1,0,0,3,3,2,2,3,3,2,5.0,5.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,1,1,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.33,2.0,0.22,0.23,0.0
15.0,290.42,13.0,250.39,2.0,40.03,76,183,58,85000,0,1,0,0,4,4,3,4,4,3,3,11.25,8.75,3.5,3.0,0.6875,1,2,0,1.0,2.0,0.0,1.0,1.5,0.0,0.95,1.325,0.0,2.0,4.0,0.41,1.59,0.0
5.0,17.13,3.0,15.39,2.0,1.74,77,28,46,36000,0,1,0,0,5,3,0,5,5,5,3,4.8,6.4,1.6,0.0,0.0,0,2,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,3.67,0.02,0.61,0.0
4.0,11.95,1.0,5.07,3.0,6.88,78,237,30,41000,0,0,1,0,2,2,0,0,2,2,2,5.0,5.0,5.0,0.0,0.0,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.67,0.02,0.05,0.0
2.0,45.4,2.0,45.4,0.0,0.0,79,341,59,89000,0,0,1,0,6,3,1,4,6,5,4,9.0,7.0,5.166666666666667,1.6666666666666667,0.16666666666666666,1,2,1,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,2.67,0.0,0.06,0.13,0.0
9.0,23.16,6.0,12.86,3.0,10.3,80,312,42,73000,1,0,0,0,5,3,0,4,5,5,3,5.4,6.2,1.4,0.0,0.0,0,3,2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,2.0,0.03,0.07,0.0
20.0,75.96,20.0,75.96,0.0,0.0,81,939,51,41000,0,0,1,0,6,4,3,5,6,4,4,12.5,8.666666666666666,4.833333333333333,1.5,0.30833333333333335,2,2,0,1.0,1.5,0.0,1.0,1.0,0.0,0.8,0.525,0.0,3.0,0.0,0.11,0.08,0.0
12.0,29.56,11.0,28.58,1.0,0.98,82,198,27,35000,0,0,1,0,5,4,3,3,5,4,4,7.0,6.2,2.4,0.4,0.49399999999999994,1,2,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.72,0.875,3.0,1.33,0.04,0.15,0.0
5.0,8.17,3.0,6.23,2.0,1.94,83,150,40,53000,0,0,1,0,4,3,0,3,4,4,3,2.5,4.25,2.5,0.0,0.0,1,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.01,0.05,0.0
13.0,32.08,12.0,26.45,1.0,5.63,84,1041,52,57000,1,0,0,0,5,5,2,5,5,4,4,9.4,7.4,4.0,1.0,0.134,1,3,0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.67,0.0,1.67,1.33,0.04,0.03,0.0
4.0,109.16,4.0,109.16,0.0,0.0,85,99,73,91000,0,1,0,0,5,4,1,3,5,5,4,6.4,5.8,4.0,0.6,0.128,2,2,1,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.64,0.0,4.33,0.0,0.15,1.1,0.0
10.0,298.3,8.0,251.09,2.0,47.21,86,946,74,107000,0,1,0,0,5,4,4,5,5,5,4,7.4,8.2,1.8,1.8,0.738,0,2,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.87,0.0,4.0,3.0,0.42,0.32,0.0
7.0,136.94,4.0,74.35,3.0,62.59,87,979,42,66000,0,0,1,0,3,2,2,3,3,2,1,9.0,7.0,2.6666666666666665,1.0,0.5133333333333333,0,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.79,0.75,4.0,4.67,0.19,0.14,0.0
10.0,126.94,9.0,122.57,1.0,4.37,88,989,78,58000,0,0,1,0,6,6,5,5,6,6,4,5.0,4.333333333333333,5.0,5.0,0.5399999999999999,1,0,2,1.0,0.0,2.0,1.0,0.0,1.0,0.5166666666666666,0.0,0.845,2.33,1.67,0.18,0.13,0.0
18.0,57.03,18.0,57.03,0.0,0.0,89,579,54,53000,0,1,0,0,6,5,1,3,6,6,6,10.0,7.666666666666667,7.333333333333333,0.3333333333333333,0.12,2,1,0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.36,0.0,1.33,0.0,0.08,0.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,90,44,70,74000,0,1,0,0,3,3,0,3,3,3,3,5.666666666666667,5.666666666666667,4.333333333333333,0.0,0.0,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,184.78,7.0,136.08,3.0,48.7,91,475,49,57000,0,1,0,0,5,5,4,2,5,5,4,4.4,5.4,3.6,3.6,0.608,2,1,1,2.0,1.0,1.0,2.0,1.0,0.5,1.75,0.46,0.415,2.0,2.67,0.26,0.39,0.0
0.0,0.0,0.0,0.0,0.0,0.0,92,108,62,57000,0,1,0,0,3,2,0,3,3,2,1,10.666666666666666,8.0,4.333333333333333,0.0,0.0,1,2,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
